ID_CONTRATO,DESCRIPCION,ACTIVIDAD,CALLE,NUMERO,ENTRE CALLES,COLONIA,LATITUD,LONGITUD,CONTRATO,RECURSOS DE PROYECTOS PARTICIPATIVO,ORIGEN DE LA INFORMACION ,FECHA DE INICIO,FECHA DE TERMINO,AVANCE,CARPETA ASFµLTICA M2,BOLARDOS PZ,REVO DE VELOCIDAD (REVO) PZ,BANQUETAS Y GUARNICIONES M2,LUMINARIAS PZ,IMPERMEABILIZACION M2,PINTURA M2,INSTALACION HIDRAULICA M,INSTALACION DE DRENAJE M,KIT DEJUEGOS EN PARQUES Y ESPACIOS PUBLICOS PZ,VEGETACION INSTALADA EN PARQUES Y ESPACIOS PUBLICOS,SISTEMA DE RIEGO EN PARQUES Y ESPACIOS PUBLICOS ,CENTROS Y ESPACIOS DEPORTIVOS,REHABILITACION DE ESCUELAS PUBLICAS,REHABILITACION DE CENDI,REHABILITACION DE TABLEROS ELECTRICOS EN MERCADOS PUBLICOS PZ,REHABILITACION_BOMBAS,REHABILITACION DE SISTEMA DE DRENAJE EN MERCADOS PUBLICOS M,REHABILITACION DE TECHUMBRE EN MERCADOS PUBLICOS M,ESTUDIOS TECNICOS,RESPONSABLE DE PROPORCIONAR LA INFORMACION 
11,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,CARLOS DICKENS,18,GOLDSMITH   E  IBSEN,POLANCO III SECCION ,19.43018,-99.20107,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2015,25/04/2013,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
12,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,CARLOS DICKENS,20,GOLDSMITH   E  IBSEN,POLANCO III SECCION ,19.43019,-99.20114,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2016,25/04/2014,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
13,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,CARLOS DICKENS,26,GOLDSMITH   E  IBSEN,POLANCO III SECCION ,19.4302,-99.20135,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2017,25/04/2015,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
14,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,MONTE ELBRUZ,116, PERFERICO MOLIERE,POLANCO III SECCION ,19.42966,-99.20499,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2018,25/04/2016,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
15,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,MONTE ELBRUZ,152, PERFERICO MOLIERE,POLANCO III SECCION ,19.42960108,-99.20371635,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2019,25/04/2017,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
16,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,MONTE ELBRUZ,124, PERFERICO MOLIERE,POLANCO III SECCION ,19.42973,-99.20473,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2020,25/04/2018,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
17,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,MONTE ELBRUZ,132, PERFERICO MOLIERE,POLANCO III SECCION ,19.42969,-99.20442,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2021,25/04/2019,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
18,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,MONTE ELBRUZ,148, PERFERICO MOLIERE,POLANCO III SECCION ,19.42965,-99.20416,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2022,25/04/2020,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
19,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,MONTE ELBRUZ,154, PERFERICO MOLIERE,POLANCO III SECCION ,19.42955,-99.20381,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2023,25/04/2021,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
20,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,MONTE ELBRUZ,145, PERFERICO MOLIERE,POLANCO III SECCION ,19.42929,-99.20351,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2024,25/04/2022,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
21,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,MONTE ELBRUZ,164, PERFERICO MOLIERE,POLANCO III SECCION ,19.42937,-99.20349,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2025,25/04/2023,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
22,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,289,HOMERO   HORACIO,POLANCO III SECCION ,19.43512,-99.20321,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2026,25/04/2024,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
23,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,219,HOMERO   HORACIO,POLANCO III SECCION ,19.4352,-99.20313,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2027,25/04/2025,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
24,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,289,HOMERO   HORACIO,POLANCO III SECCION ,19.4352,-99.20318,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2028,25/04/2026,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
25,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,211,HOMERO   HORACIO,POLANCO III SECCION ,19.43551,-99.20313,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/2029,25/04/2027,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
26,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,211,HOMERO   HORACIO,POLANCO III SECCION ,19.43575,-99.20319,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/1930,25/04/2028,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
27,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,207,HOMERO   HORACIO,POLANCO III SECCION ,19.43586,-99.2032,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/1931,25/04/2029,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
28,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,SIN NUMERO,HOMERO CRUCE HORACIO,POLANCO III SECCION ,19.43608,-99.20316,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/04/2001,25/04/1930,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
29,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,205,HOMERO   HORACIO,POLANCO III SECCION ,19.43597,-99.20314,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/04/2002,25/05/2001,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
30,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,141,HOMERO EJERCITO NACIONAL MEXICANO,POLANCO III SECCION ,19.43694,-99.2032,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/04/2003,25/05/2002,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
31,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO, PLATON ,135,HOMERO EJERCITO NACIONAL ,POLANCO III SECCION ,19.43716,-99.20317,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/04/2004,25/05/2003,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
